shape_idx,PyTorch (cuDNN),Triton
0.000000,94.397525,34.640084
1.000000,151.019606,98.394641
2.000000,142.324982,96.895152
3.000000,157.805267,99.814082
4.000000,155.464549,96.287560
5.000000,159.913453,102.501192
6.000000,159.144461,100.604605
7.000000,164.583360,102.367290
