spatial_size,PyTorch (cuDNN),Triton
8.000000,4.148821,3.386549
12.000000,13.697174,10.350031
16.000000,31.111596,25.098894
20.000000,48.934514,28.852595
24.000000,74.013543,30.694343
28.000000,71.911007,32.324718
32.000000,83.025078,77.222099
40.000000,140.948870,37.906427
48.000000,141.623326,79.967770
