spatial_size,PyTorch (cuDNN),Triton
8.000000,4.127048,2.329785
12.000000,13.969516,7.469629
16.000000,31.597714,16.215093
20.000000,49.152002,12.883504
24.000000,75.178196,13.062404
28.000000,72.633901,12.473875
32.000000,83.146995,28.852538
40.000000,140.568161,15.252491
48.000000,140.996393,27.845400
